team_id,team_name,club,event_age,gender,division,bracket,rating,flag,target_division,reason
579647,Sting B18 Guess,Sting Soccer Club,U8,m,7v7 18s Silver,Bracket B,1638.04,ranking-uncertain,,Only 0 games in last 365d
210381,Dallas Hornets 15G (Prev Alpha),Dallas Hornets,U12,f,11v11 DS Gold,Bracket A,,ranking-uncertain,,No ranking available
624279,BVB 17G Black East Solares,BVB International Academy Texas,U9,f,7v7 Silver,Bracket A,,ranking-uncertain,,No ranking available
166771,Solar South 15G Adames,Solar SC,U12,f,11v11 DS Gold,Bracket A,1550.83,ranking-uncertain,,Only 0 games in last 365d
383382,Solar South 16G Adames,Solar SC,U11,f,9v9 DS Gold,Bracket A,1586.24,ranking-uncertain,,Only 0 games in last 365d
522200,IRVING VELOCITY SC 12 BR,Irving Soccer Association,U14,m,11v11 Bronze II,Bracket B,,ranking-uncertain,,No ranking available
659289,Dallas Texans 2020 Boys Red Dallas,Dallas Texans,U7,m,Gold 4v4,Bracket A,1593.77,ranking-uncertain,,Only 0 games in last 365d
633235,Solar 11G Richardson RL NTX,Solar SC,U15,f,Silver,Bracket A,,ranking-uncertain,,No ranking available
441539,Sting Attack 17G D Sarmiento,Sting Soccer Club,U10,f,9v9 DS Gold,Bracket B,1514.43,move-up,9v9 16s Silver,Rating 1514 ≥ median of 9v9 16s Silver (1502)
450822,NTX United FC 2017B Costello,NTX United FC,U9,m,7v7 Bronze Crossover,Bracket B,1447.21,ranking-uncertain,,Only 0 games in last 365d
538656,NTX United FC 2016B Costello,NTX United FC,U10,m,9v9 Bronze,Bracket B,,ranking-uncertain,,No ranking available
647952,NTX United FC 2016B Herrera,NTX United FC,U10,m,9v9 Bronze II Crossover,Bracket A,,ranking-uncertain,,No ranking available
403434,LCSA Warriors,Lake Cities SA,U8,f,4v4 Bronze,Bracket B,1534.93,ranking-uncertain,,Only 3 games in last 365d
88993,Sting Royal ECNL RL NTX G13 Brave Oliver,Sting Soccer Club,U13,f,Dallas Showcase Super Group 13s,Bracket A,1510.64,ranking-uncertain,,Only 0 games in last 365d
107538,DFW United 11G Sutherland,DFW United SC,U15,f,Silver Elite Crossover,Bracket A,1590.72,ranking-uncertain,,Only 0 games in last 365d
614131,ISW Academy 10G,ISW Academy,U16,f,HS 2,Bracket A,,ranking-uncertain,,No ranking available
606148,ISW Academy 12G Ramirez,ISW Academy,U14,f,11v11 Bronze Crossover,Bracket A,,ranking-uncertain,,No ranking available
354265,DKSC 18B DE LA CRUZ,DKSC,U8,m,4v4 Silver,Bracket A,1442.49,ranking-uncertain,,Only 3 games in last 365d
577109,North Texas Elite 18B Soto,North Texas Elite SC,U8,m,7v7 18s Silver,Bracket A,1528.34,ranking-uncertain,,Only 0 games in last 365d
672503,Texas Lonestars FC 19B,Texas Lonestars FC,U7,m,Bronze 4v4,Bracket A,1431.13,ranking-uncertain,,Only 0 games in last 365d
646542,Solar 14G Tremblay Gold,Solar SC,U12,f,11v11 Bronze,Bracket A,,ranking-uncertain,,No ranking available
637021,DKSC 11B RODRIGUEZ ETX,DKSC,U15,m,DS Silver Elite,Bracket A,,ranking-uncertain,,No ranking available
615139,DFW United SC 18G Sutherland,DFW United SC,U8,f,7v7 Silver,Bracket A,1491.49,ranking-uncertain,,Only 0 games in last 365d
167646,Kernow Storm FC B13 Red River NPL H.Espinosa,Kernow Storm FC,U13,m,11v11 Gold,Bracket A,,ranking-uncertain,,No ranking available
139099,Dallas Legacy 15G Arroyo,Dallas Legacy,U11,f,9v9 Bronze,Bracket B,1501.45,ranking-uncertain,,Only 3 games in last 365d
