team_id,team_name,club,event_age,gender,division,bracket,coverage,games_365,distinct_opponents,last_game_date,rating,in_db
138604,FC LEGENDS UTD 15B Red,FC LEGENDS UTD,U11,m,9v9 Bronze II,Bracket C,RED,0,0,,,yes
521584,U13 Boys Gold - GO,GFI Academy,U13,m,11v11 Bronze II,Bracket A,RED,0,0,,,yes
620286,Rayos 19B blue 4v4 A,Rayos FC,U7,m,Gold 4v4,Bracket B,RED,0,0,,,yes
701410,Rayos 2019b Red,Rayos FC,U7,m,Bronze 4v4,Bracket B,RED,0,0,,1509.98,yes
81641,Coppell FC 14B Williams Red,Coppell Youth SA,U13,m,11v11 Bronze 14s,Bracket A,RED,0,0,,,yes
188365,Olympians SC 14B Red Chadbourn,Olympians SC,U13,m,11v11 Silver 14s,Bracket A,RED,4,4,2025-05-26,,yes
579593,Sting Attack G17 D Sarmiento White,Sting Soccer Club,U9,f,7v7 Dallas Showcase Super Group 17s,Bracket A,RED,0,0,,1615.70,yes
701441,Solar 18G Carrillo.T,Solar SC,U8,f,4v4 Bronze,Bracket B,MISSING,0,0,,,no
96642,Dallas Surf 12G Black,Dallas Surf,U14,f,11v11 Bronze Crossover,Bracket B,RED,0,0,,,yes
521596,U12 Boys Gold - GO,GFI Academy,U12,m,9v9 Bronze,Bracket A,RED,0,0,,,yes
521605,U11 Boys Gold - GO,GFI Academy,U11,m,9v9 Bronze,Bracket A,RED,0,0,,,yes
362201,Dallas Texans ECNL RL NTX G13,Dallas Texans,U13,f,11v11 Silver,Bracket B,GREEN,29,13,2026-06-10,,yes
486146,Dallas Surf 17G South,Dallas Surf,U9,f,7v7 Bronze II Crossover,Bracket B,GREEN,31,25,2026-05-02,1435.70,yes
151346,Dutch Lions 12B PSV,Dutch FC,U14,m,11v11 Bronze,Bracket A,RED,0,0,,,yes
147249,Dutch Lions 13B PSV,Dutch FC,U13,m,11v11 Bronze II,Bracket A,RED,0,0,,,yes
79663,Sting G14 Fuentes,Sting Soccer Club,U12,f,9v9 Bronze,Bracket A,RED,0,0,,,yes
581666,Coerver United 17B Garcia,GLASA LEAGUE TEAM,U9,m,7v7 Silver,Bracket B,RED,0,0,,1498.69,yes
702031,Atletico Dallas Youth 18B North,Atletico Dallas Youth,U8,m,4v4 Silver,Bracket A,MISSING,0,0,,,no
482778,Atletico Dallas Youth NPL NTX 13B GARCIA-WTX,Atletico Dallas Youth,U13,m,11v11 Bronze Crossover,Bracket A,MISSING,0,0,,,no
729468,Shiloh FC 11B,Shiloh FC,U15,m,DS Silver,Bracket B,MISSING,0,0,,,no
511449,Sting ECNL RL NTX B12 Pitcock,Sting Soccer Club,U14,m,11v11 Bronze II,Bracket A,RED,0,0,,,yes
166088,14G McGregor,Evolution,U12,f,11v11 Bronze,Bracket A,RED,0,0,,,yes
164913,15B McGregor,Evolution,U11,m,9v9 Bronze II,Bracket B,RED,0,0,,,yes
637372,Solar East 09B Spear,Solar SC,U17,m,Bracket B,Bracket A,MISSING,0,0,,,no
58684,Houstonians FC STXCL ECNL-RL G07,Houstonians FC,U19,f,Gold,Bracket B,MISSING,0,0,,,no
354518,Inter Dallas SC 09G,Dallas Inter Soccer Club,U17,f,HS 1,Bracket A,RED,0,0,,,yes
134104,Coppell FC 15G Campanella White,Coppell Youth SA,U11,f,9v9 Bronze II,Bracket A,RED,0,0,,,yes
602391,DKSC 20B ROJAS,DKSC,U6,m,Gold,Bracket A,MISSING,0,0,,,no
622312,BVB 14B Black East (Fritz),BVB International Academy Texas,U12,m,9v9 Bronze II,Bracket A,RED,0,0,,,yes
